title_slug,tags,difficulty
element-appearing-more-than-25-in-sorted-array,['Array'],Easy
surface-area-of-3d-shapes,"['Array', 'Math', 'Geometry', 'Matrix']",Easy
minimum-cost-to-equalize-array,"['Array', 'Greedy', 'Enumeration']",Hard
find-target-indices-after-sorting-array,"['Array', 'Binary Search', 'Sorting']",Easy
describe-the-painting,"['Array', 'Hash Table', 'Sorting', 'Prefix Sum']",Medium
apply-operations-to-make-all-array-elements-equal-to-zero,"['Array', 'Prefix Sum']",Medium
minimum-bit-flips-to-convert-number,['Bit Manipulation'],Easy
count-the-number-of-vowel-strings-in-range,"['Array', 'String']",Easy
apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,"['Math', 'Greedy', 'Enumeration']",Medium
uniquePaths2,[],N/A
4sum,"['Array', 'Two Pointers', 'Sorting']",Medium
encode-n-ary-tree-to-binary-tree,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Design', 'Binary Tree']",Hard
day-of-the-year,"['Math', 'String']",Easy
maximum-binary-string-after-change,"['String', 'Greedy']",Medium
create-sorted-array-through-instructions,"['Array', 'Binary Search', 'Divide and Conquer', 'Binary Indexed Tree', 'Segment Tree', 'Merge Sort', 'Ordered Set']",Hard
non-negative-integers-without-consecutive-ones,['Dynamic Programming'],Hard
shuffle-an-array,"['Array', 'Math', 'Randomized']",Medium
number-of-submatrices-that-sum-to-target,"['Array', 'Hash Table', 'Matrix', 'Prefix Sum']",Hard
minimum-cost-homecoming-of-a-robot-in-a-grid,"['Array', 'Greedy']",Medium
maximum-bags-with-full-capacity-of-rocks,"['Array', 'Greedy', 'Sorting']",Medium
minimum-average-difference,"['Array', 'Prefix Sum']",Medium
bus-routes,"['Array', 'Hash Table', 'Breadth-First Search']",Hard
rearrange-characters-to-make-target-string,"['Hash Table', 'String', 'Counting']",Easy
minimum-fuel-cost-to-report-to-the-capital,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Graph']",Medium
make-two-arrays-equal-by-reversing-sub-arrays,[],N/A
check-if-binary-string-has-at-most-one-segment-of-ones,['String'],Easy
maximum-gcd-sum-of-a-subarray,"['Array', 'Math', 'Binary Search', 'Number Theory']",Hard
longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"['Array', 'Queue', 'Sliding Window', 'Heap (Priority Queue)', 'Ordered Set', 'Monotonic Queue']",Medium
find-words-containing-character,"['Array', 'String']",Easy
minimum-time-to-repair-cars,"['Array', 'Binary Search']",Medium
shortest-path-to-get-all-keys,"['Array', 'Bit Manipulation', 'Breadth-First Search', 'Matrix']",Hard
construct-product-matrix,"['Array', 'Matrix', 'Prefix Sum']",Medium
the-k-th-lexicographical-string-of-all-happy-strings-of-length-n,"['String', 'Backtracking']",Medium
count-number-of-maximum-bitwise-or-subsets,"['Array', 'Backtracking', 'Bit Manipulation', 'Enumeration']",Medium
robot-collisions,"['Array', 'Stack', 'Sorting', 'Simulation']",Hard
longest-substring-without-repeating-characters,"['Hash Table', 'String', 'Sliding Window']",Medium
digit-count-in-range,"['Math', 'Dynamic Programming']",Hard
length-of-last-word,['String'],Easy
cinema-seat-allocation,"['Array', 'Hash Table', 'Greedy', 'Bit Manipulation']",Medium
subtree-of-another-tree,"['Tree', 'Depth-First Search', 'String Matching', 'Binary Tree', 'Hash Function']",Easy
count-the-number-of-incremovable-subarrays-ii,"['Array', 'Two Pointers', 'Binary Search']",Hard
number-of-sub-arrays-with-odd-sum,"['Array', 'Math', 'Dynamic Programming', 'Prefix Sum']",Medium
replace-question-marks-in-string-to-minimize-its-value,"['Hash Table', 'String', 'Greedy', 'Sorting', 'Heap (Priority Queue)', 'Counting']",Medium
sort-integers-by-the-number-of-1-bits,"['Array', 'Bit Manipulation', 'Sorting', 'Counting']",Easy
replace-all-digits-with-characters,['String'],Easy
high-access-employees,"['Array', 'Hash Table', 'String', 'Sorting']",Medium
kth-distinct-string-in-an-array,"['Array', 'Hash Table', 'String', 'Counting']",Easy
super-washing-machines,"['Array', 'Greedy']",Hard
smallest-k-length-subsequence-with-occurrences-of-a-letter,"['String', 'Stack', 'Greedy', 'Monotonic Stack']",Hard
distribute-candies-among-children-i,"['Math', 'Combinatorics', 'Enumeration']",Easy
contains-duplicate-ii,"['Array', 'Hash Table', 'Sliding Window']",Easy
count-elements-with-strictly-smaller-and-greater-elements,"['Array', 'Sorting']",Easy
maximum-number-of-moves-in-a-grid,"['Array', 'Dynamic Programming', 'Matrix']",Medium
maximum-average-subarray-i,"['Array', 'Sliding Window']",Easy
subtree-removal-game-with-fibonacci-tree,"['Math', 'Dynamic Programming', 'Tree', 'Binary Tree', 'Game Theory']",Hard
k-concatenation-maximum-sum,"['Array', 'Dynamic Programming']",Medium
minimum-number-of-days-to-disconnect-island,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Matrix', 'Strongly Connected Component']",Hard
shortest-word-distance-ii,"['Array', 'Hash Table', 'Two Pointers', 'String', 'Design']",Medium
employee-free-time,"['Array', 'Sorting', 'Heap (Priority Queue)']",Hard
smallest-greater-multiple-made-of-two-digits,"['Math', 'Enumeration']",Medium
minimize-maximum-value-in-a-grid,"['Array', 'Union Find', 'Graph', 'Topological Sort', 'Sorting', 'Matrix']",Hard
find-longest-special-substring-that-occurs-thrice-i,"['Hash Table', 'String', 'Binary Search', 'Sliding Window', 'Counting']",Medium
word-ladder-ii,"['Hash Table', 'String', 'Backtracking', 'Breadth-First Search']",Hard
top-k-frequent-elements,"['Array', 'Hash Table', 'Divide and Conquer', 'Sorting', 'Heap (Priority Queue)', 'Bucket Sort', 'Counting', 'Quickselect']",Medium
validate-binary-search-tree,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']",Medium
watering-plants-ii,"['Array', 'Two Pointers', 'Simulation']",Medium
sentence-similarity-ii,"['Array', 'Hash Table', 'String', 'Depth-First Search', 'Breadth-First Search', 'Union Find']",Medium
k-inverse-pairs-array,['Dynamic Programming'],Hard
surrounded-regions,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Matrix']",Medium
number-of-equal-numbers-blocks,"['Array', 'Binary Search', 'Interactive']",Medium
number-of-good-pairs,"['Array', 'Hash Table', 'Math', 'Counting']",Easy
minimum-difference-between-highest-and-lowest-of-k-scores,"['Array', 'Sliding Window', 'Sorting']",Easy
number-of-rectangles-that-can-form-the-largest-square,['Array'],Easy
set-matrix-zeroes,"['Array', 'Hash Table', 'Matrix']",Medium
combinations,['Backtracking'],Medium
shortest-distance-to-a-character,"['Array', 'Two Pointers', 'String']",Easy
the-maze-ii,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Graph', 'Heap (Priority Queue)', 'Matrix', 'Shortest Path']",Medium
prime-number-of-set-bits-in-binary-representation,"['Math', 'Bit Manipulation']",Easy
valid-triangle-number,"['Array', 'Two Pointers', 'Binary Search', 'Greedy', 'Sorting']",Medium
destroy-sequential-targets,"['Array', 'Hash Table', 'Counting']",Medium
snakes-and-ladders,"['Array', 'Breadth-First Search', 'Matrix']",Medium
check-if-the-number-is-fascinating,"['Hash Table', 'Math']",Easy
minimum-number-of-operations-to-convert-time,"['String', 'Greedy']",Easy
check-distances-between-same-letters,"['Array', 'Hash Table', 'String']",Easy
determine-if-two-strings-are-close,"['Hash Table', 'String', 'Sorting', 'Counting']",Medium
search-suggestions-system,"['Array', 'String', 'Binary Search', 'Trie', 'Sorting', 'Heap (Priority Queue)']",Medium
difference-between-maximum-and-minimum-price-sum,"['Array', 'Dynamic Programming', 'Tree', 'Depth-First Search']",Hard
longest-palindromic-subsequence-ii,"['String', 'Dynamic Programming']",Medium
minimum-number-of-moves-to-make-palindrome,"['Two Pointers', 'String', 'Greedy', 'Binary Indexed Tree']",Hard
max-increase-to-keep-city-skyline,"['Array', 'Greedy', 'Matrix']",Medium
print-in-order,['Concurrency'],Easy
groups-of-special-equivalent-strings,"['Array', 'Hash Table', 'String', 'Sorting']",Medium
mini-parser,"['String', 'Stack', 'Depth-First Search']",Medium
delete-duplicate-folders-in-system,"['Array', 'Hash Table', 'String', 'Trie', 'Hash Function']",Hard
maximum-number-of-k-divisible-components,"['Tree', 'Depth-First Search']",Hard
longest-unequal-adjacent-groups-subsequence-ii,"['Array', 'String', 'Dynamic Programming']",Medium
partition-array-such-that-maximum-difference-is-k,"['Array', 'Greedy', 'Sorting']",Medium
design-authentication-manager,"['Hash Table', 'Design']",Medium
maximum-xor-for-each-query,"['Array', 'Bit Manipulation', 'Prefix Sum']",Medium
fizz-buzz-multithreaded,['Concurrency'],Medium
find-the-minimum-and-maximum-number-of-nodes-between-critical-points,['Linked List'],Medium
maximum-number-of-tasks-you-can-assign,"['Array', 'Binary Search', 'Greedy', 'Queue', 'Sorting', 'Monotonic Queue']",Hard
choose-numbers-from-two-arrays-in-range,"['Array', 'Dynamic Programming']",Hard
find-the-student-that-will-replace-the-chalk,"['Array', 'Binary Search', 'Simulation', 'Prefix Sum']",Medium
check-if-string-is-decomposable-into-value-equal-substrings,['String'],Easy
divide-array-into-increasing-sequences,"['Array', 'Counting']",Hard
merge2,[],N/A
maximum-alternating-subsequence-sum,"['Array', 'Dynamic Programming']",Medium
find-the-longest-equal-subarray,"['Array', 'Hash Table', 'Binary Search', 'Sliding Window']",Medium
maximum-sum-of-3-non-overlapping-subarrays,"['Array', 'Dynamic Programming']",Hard
maximum-number-of-coins-you-can-get,"['Array', 'Math', 'Greedy', 'Sorting', 'Game Theory']",Medium
online-stock-span,"['Stack', 'Design', 'Monotonic Stack', 'Data Stream']",Medium
bitwise-or-of-all-subsequence-sums,"['Array', 'Math', 'Bit Manipulation', 'Brainteaser']",Medium
remove-duplicates-from-sorted-array-ii,"['Array', 'Two Pointers']",Medium
maximum-number-of-pairs-in-array,"['Array', 'Hash Table', 'Counting']",Easy
maximum-sum-with-exactly-k-elements,"['Array', 'Greedy']",Easy
find-k-th-smallest-pair-distance,"['Array', 'Two Pointers', 'Binary Search', 'Sorting']",Hard
assign-cookies,"['Array', 'Two Pointers', 'Greedy', 'Sorting']",Easy
beautiful-pairs,"['Array', 'Math', 'Divide and Conquer', 'Geometry', 'Sorting', 'Ordered Set']",Hard
divide-an-array-into-subarrays-with-minimum-cost-ii,"['Array', 'Hash Table', 'Sliding Window', 'Heap (Priority Queue)']",Hard
h-index-ii,"['Array', 'Binary Search']",Medium
kth-ancestor-of-a-tree-node,"['Binary Search', 'Dynamic Programming', 'Tree', 'Depth-First Search', 'Breadth-First Search', 'Design']",Hard
build-binary-expression-tree-from-infix-expression,"['String', 'Stack', 'Tree', 'Binary Tree']",Hard
booking-concert-tickets-in-groups,"['Binary Search', 'Design', 'Binary Indexed Tree', 'Segment Tree']",Hard
count-of-smaller-numbers-after-self,"['Array', 'Binary Search', 'Divide and Conquer', 'Binary Indexed Tree', 'Segment Tree', 'Merge Sort', 'Ordered Set']",Hard
sort-colors,"['Array', 'Two Pointers', 'Sorting']",Medium
number-of-ways-to-reach-destination-in-the-grid,"['Math', 'Dynamic Programming', 'Combinatorics']",Hard
number-of-valid-subarrays,"['Array', 'Stack', 'Monotonic Stack']",Hard
most-common-word,"['Array', 'Hash Table', 'String', 'Counting']",Easy
arithmetic-slices,"['Array', 'Dynamic Programming']",Medium
find-the-minimum-possible-sum-of-a-beautiful-array,"['Math', 'Greedy']",Medium
simple-bank-system,"['Array', 'Hash Table', 'Design', 'Simulation']",Medium
find-smallest-common-element-in-all-rows,"['Array', 'Hash Table', 'Binary Search', 'Matrix', 'Counting']",Medium
jump-game-vi,"['Array', 'Dynamic Programming', 'Queue', 'Heap (Priority Queue)', 'Monotonic Queue']",Medium
count-the-number-of-k-big-indices,"['Array', 'Binary Search', 'Divide and Conquer', 'Binary Indexed Tree', 'Segment Tree', 'Merge Sort', 'Ordered Set']",Hard
coin-change-2,[],N/A
search-in-rotated-sorted-array,"['Array', 'Binary Search']",Medium
maximum-difference-between-increasing-elements,['Array'],Easy
optimal-division,"['Array', 'Math', 'Dynamic Programming']",Medium
find-missing-observations,"['Array', 'Math', 'Simulation']",Medium
design-a-leaderboard,"['Hash Table', 'Design', 'Sorting']",Medium
subarrays-distinct-element-sum-of-squares-i,"['Array', 'Hash Table']",Easy
uncrossed-lines,"['Array', 'Dynamic Programming']",Medium
palindrome-linked-list,"['Linked List', 'Two Pointers', 'Stack', 'Recursion']",Easy
rank-transform-of-a-matrix,"['Array', 'Union Find', 'Graph', 'Topological Sort', 'Sorting', 'Matrix']",Hard
double-modular-exponentiation,"['Array', 'Math', 'Simulation']",Medium
count-number-of-distinct-integers-after-reverse-operations,"['Array', 'Hash Table', 'Math']",Medium
numbers-at-most-n-given-digit-set,"['Array', 'Math', 'String', 'Binary Search', 'Dynamic Programming']",Hard
univalued-binary-tree,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']",Easy
number-of-equivalent-domino-pairs,"['Array', 'Hash Table', 'Counting']",Easy
robot-return-to-origin,"['String', 'Simulation']",Easy
power-of-two,"['Math', 'Bit Manipulation', 'Recursion']",Easy
stone-game,"['Array', 'Math', 'Dynamic Programming', 'Game Theory']",Medium
shortest-way-to-form-string,"['Two Pointers', 'String', 'Greedy']",Medium
count-symmetric-integers,"['Math', 'Enumeration']",Easy
valid-palindrome-ii,"['Two Pointers', 'String', 'Greedy']",Easy
out-of-boundary-paths,['Dynamic Programming'],Medium
equal-rational-numbers,"['Math', 'String']",Hard
minimum-changes-to-make-k-semi-palindromes,"['Two Pointers', 'String', 'Dynamic Programming']",Hard
course-schedule,"['Depth-First Search', 'Breadth-First Search', 'Graph', 'Topological Sort']",Medium
intersection-of-two-arrays,"['Array', 'Hash Table', 'Two Pointers', 'Binary Search', 'Sorting']",Easy
sum-of-left-leaves,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']",Easy
stone-game-viii,"['Array', 'Math', 'Dynamic Programming', 'Prefix Sum', 'Game Theory']",Hard
kth-smallest-element-in-a-sorted-matrix,"['Array', 'Binary Search', 'Sorting', 'Heap (Priority Queue)', 'Matrix']",Medium
longest-non-decreasing-subarray-from-two-arrays,"['Array', 'Dynamic Programming']",Medium
number-of-common-factors,"['Math', 'Enumeration', 'Number Theory']",Easy
reverse-substrings-between-each-pair-of-parentheses,"['String', 'Stack']",Medium
maximum-height-by-stacking-cuboids,"['Array', 'Dynamic Programming', 'Sorting']",Hard
minimum-cost-to-make-at-least-one-valid-path-in-a-grid,"['Array', 'Breadth-First Search', 'Graph', 'Heap (Priority Queue)', 'Matrix', 'Shortest Path']",Hard
maximum-profit-of-operating-a-centennial-wheel,"['Array', 'Simulation']",Medium
find-all-numbers-disappeared-in-an-array,"['Array', 'Hash Table']",Easy
remove-palindromic-subsequences,"['Two Pointers', 'String']",Easy
find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows,"['Array', 'Binary Search', 'Heap (Priority Queue)', 'Matrix']",Hard
employee-importance,"['Array', 'Hash Table', 'Tree', 'Depth-First Search', 'Breadth-First Search']",Medium
find-distance-in-a-binary-tree,"['Hash Table', 'Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']",Medium
minimum-total-cost-to-make-arrays-unequal,"['Array', 'Hash Table', 'Greedy', 'Counting']",Hard
count-distinct-numbers-on-board,"['Array', 'Hash Table', 'Math', 'Simulation']",Easy
minimum-number-of-steps-to-make-two-strings-anagram,"['Hash Table', 'String', 'Counting']",Medium
largest-1-bordered-square,"['Array', 'Dynamic Programming', 'Matrix']",Medium
maximize-the-number-of-partitions-after-operations,"['String', 'Dynamic Programming', 'Bit Manipulation', 'Bitmask']",Hard
longest-line-of-consecutive-one-in-matrix,"['Array', 'Dynamic Programming', 'Matrix']",Medium
split-array-into-consecutive-subsequences,"['Array', 'Hash Table', 'Greedy', 'Heap (Priority Queue)']",Medium
maximum-subarray,"['Array', 'Divide and Conquer', 'Dynamic Programming']",Medium
add-two-numbers,"['Linked List', 'Math', 'Recursion']",Medium
minimum-speed-to-arrive-on-time,"['Array', 'Binary Search']",Medium
make-the-string-great,"['String', 'Stack']",Easy
find-score-of-an-array-after-marking-all-elements,"['Array', 'Sorting', 'Heap (Priority Queue)', 'Simulation']",Medium
reachable-nodes-with-restrictions,"['Array', 'Hash Table', 'Tree', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Graph']",Medium
two-sum,"['Array', 'Hash Table']",Easy
count-number-of-bad-pairs,"['Array', 'Hash Table']",Medium
parse-lisp-expression,"['Hash Table', 'String', 'Stack', 'Recursion']",Hard
count-ways-to-build-good-strings,['Dynamic Programming'],Medium
frequency-of-the-most-frequent-element,"['Array', 'Binary Search', 'Greedy', 'Sliding Window', 'Sorting', 'Prefix Sum']",Medium
smallest-string-starting-from-leaf,"['String', 'Tree', 'Depth-First Search', 'Binary Tree']",Medium
longest-common-subsequence-between-sorted-arrays,"['Array', 'Hash Table', 'Counting']",Medium
campus-bikes,"['Array', 'Greedy', 'Sorting']",Medium
closest-room,"['Array', 'Binary Search', 'Sorting']",Hard
fruit-into-baskets,"['Array', 'Hash Table', 'Sliding Window']",Medium
greatest-common-divisor-of-strings,"['Math', 'String']",Easy
partition-list,"['Linked List', 'Two Pointers']",Medium
number-of-black-blocks,"['Array', 'Hash Table', 'Enumeration']",Medium
angle-between-hands-of-a-clock,['Math'],Medium
synonymous-sentences,"['Array', 'Hash Table', 'String', 'Backtracking', 'Union Find']",Medium
complete-binary-tree-inserter,"['Tree', 'Breadth-First Search', 'Design', 'Binary Tree']",Medium
next-greater-element-iii,"['Math', 'Two Pointers', 'String']",Medium
a-number-after-a-double-reversal,['Math'],Easy
partition-array-into-three-parts-with-equal-sum,"['Array', 'Greedy']",Easy
binary-tree-inorder-traversal,"['Stack', 'Tree', 'Depth-First Search', 'Binary Tree']",Easy
jewels-and-stones,"['Hash Table', 'String']",Easy
minimum-score-of-a-path-between-two-cities,"['Depth-First Search', 'Breadth-First Search', 'Union Find', 'Graph']",Medium
truncate-sentence,"['Array', 'String']",Easy
possible-bipartition,"['Depth-First Search', 'Breadth-First Search', 'Union Find', 'Graph']",Medium
bulb-switcher,"['Math', 'Brainteaser']",Medium
shortest-path-in-a-hidden-grid,"['Depth-First Search', 'Breadth-First Search', 'Graph', 'Interactive']",Medium
pizza-with-3n-slices,"['Array', 'Dynamic Programming', 'Greedy', 'Heap (Priority Queue)']",Hard
maximum-number-of-weeks-for-which-you-can-work,"['Array', 'Greedy']",Medium
maximum-number-of-operations-with-the-same-score-ii,"['Array', 'Dynamic Programming', 'Memoization']",Medium
the-k-weakest-rows-in-a-matrix,"['Array', 'Binary Search', 'Sorting', 'Heap (Priority Queue)', 'Matrix']",Easy
construct-the-longest-new-string,"['Math', 'Dynamic Programming', 'Greedy', 'Brainteaser']",Medium
maximum-subsequence-score,"['Array', 'Greedy', 'Sorting', 'Heap (Priority Queue)']",Medium
apply-operations-to-make-two-strings-equal,"['String', 'Dynamic Programming']",Medium
linked-list-cycle-ii,"['Hash Table', 'Linked List', 'Two Pointers']",Medium
second-largest-digit-in-a-string,"['Hash Table', 'String']",Easy
count-visited-nodes-in-a-directed-graph,"['Dynamic Programming', 'Graph', 'Memoization']",Hard
apply-operations-on-array-to-maximize-sum-of-squares,"['Array', 'Hash Table', 'Greedy', 'Bit Manipulation']",Hard
earliest-second-to-mark-indices-ii,"['Array', 'Binary Search', 'Greedy', 'Heap (Priority Queue)']",Hard
maximum-nesting-depth-of-two-valid-parentheses-strings,"['String', 'Stack']",Medium
number-of-people-aware-of-a-secret,"['Dynamic Programming', 'Queue', 'Simulation']",Medium
all-paths-from-source-lead-to-destination,"['Graph', 'Topological Sort']",Medium
letter-tile-possibilities,"['Hash Table', 'String', 'Backtracking', 'Counting']",Medium
four-divisors,"['Array', 'Math']",Medium
sum-of-all-odd-length-subarrays,"['Array', 'Math', 'Prefix Sum']",Easy
coin-path,"['Array', 'Dynamic Programming']",Hard
maximum-candies-you-can-get-from-boxes,"['Array', 'Breadth-First Search', 'Graph']",Hard
pathSum,[],N/A
number-of-ways-to-buy-pens-and-pencils,"['Math', 'Enumeration']",Medium
